## Sun Mar 12 17:57:32 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_vpez1efu --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_vpez1efu --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_vpez1efu/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
g485.t1	85982.XP_007318583.1	8.21e-208	585.0	COG0517@1|root,KOG1764@2759|Eukaryota,38BHA@33154|Opisthokonta,3NXN4@4751|Fungi,3UZFC@5204|Basidiomycota,225C8@155619|Agaricomycetes	4751|Fungi	C	CBS-domain-containing protein	SNF4	GO:0000166,GO:0001302,GO:0001932,GO:0001934,GO:0003674,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005641,GO:0005737,GO:0005829,GO:0005886,GO:0006109,GO:0006111,GO:0006355,GO:0006357,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007031,GO:0007154,GO:0007165,GO:0007568,GO:0007569,GO:0008047,GO:0008144,GO:0008150,GO:0008152,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010562,GO:0010604,GO:0010675,GO:0010676,GO:0010906,GO:0010907,GO:0012505,GO:0016020,GO:0016043,GO:0016208,GO:0016310,GO:0017076,GO:0019207,GO:0019209,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019887,GO:0023052,GO:0030234,GO:0030295,GO:0030554,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031399,GO:0031401,GO:0031588,GO:0031967,GO:0031970,GO:0031974,GO:0031975,GO:0032147,GO:0032268,GO:0032270,GO:0032502,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033674,GO:0035639,GO:0036094,GO:0036211,GO:0042325,GO:0042327,GO:0043085,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043255,GO:0043412,GO:0043539,GO:0043549,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0045722,GO:0045859,GO:0045860,GO:0045913,GO:0045937,GO:0048518,GO:0048522,GO:0048869,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051174,GO:0051246,GO:0051247,GO:0051252,GO:0051338,GO:0051347,GO:0051716,GO:0060255,GO:0061695,GO:0062012,GO:0062013,GO:0065007,GO:0065009,GO:0070013,GO:0071704,GO:0071840,GO:0071900,GO:0071902,GO:0071944,GO:0080090,GO:0097159,GO:0097367,GO:0098772,GO:1901265,GO:1901363,GO:1901564,GO:1902494,GO:1902911,GO:1903506,GO:1990234,GO:2000112,GO:2001141	-	ko:K07200	ko04068,ko04152,ko04211,ko04213,ko04371,ko04530,ko04710,ko04714,ko04910,ko04920,ko04921,ko04922,ko04931,ko04932,ko05410,map04068,map04152,map04211,map04213,map04371,map04530,map04710,map04714,map04910,map04920,map04921,map04922,map04931,map04932,map05410	-	-	-	ko00000,ko00001	-	-	-	CBS
g486.t1	85982.XP_007322358.1	2.67e-85	265.0	2CYQW@1|root,2S5S2@2759|Eukaryota,3A5N6@33154|Opisthokonta,3P35Z@4751|Fungi,3V24H@5204|Basidiomycota,228PC@155619|Agaricomycetes	4751|Fungi	S	Methyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Methyltransf_23
g487.t1	104355.XP_007861093.1	4.12e-147	424.0	KOG0761@1|root,KOG0761@2759|Eukaryota,38GBT@33154|Opisthokonta,3NTYN@4751|Fungi,3V0QB@5204|Basidiomycota,227GK@155619|Agaricomycetes,3H0QP@355688|Agaricomycetes incertae sedis	4751|Fungi	C	Mitochondrial carrier	MTM1	GO:0000041,GO:0003674,GO:0005215,GO:0005384,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006828,GO:0006839,GO:0008144,GO:0008150,GO:0008324,GO:0015075,GO:0015318,GO:0015711,GO:0015748,GO:0015850,GO:0015893,GO:0016020,GO:0016021,GO:0016530,GO:0019842,GO:0019866,GO:0022857,GO:0022890,GO:0030001,GO:0030170,GO:0031090,GO:0031224,GO:0031919,GO:0031921,GO:0031966,GO:0031967,GO:0031975,GO:0034220,GO:0036094,GO:0042221,GO:0042493,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046873,GO:0046915,GO:0048037,GO:0050662,GO:0050896,GO:0051179,GO:0051180,GO:0051181,GO:0051182,GO:0051234,GO:0055085,GO:0070279,GO:0071421,GO:0071702,GO:0071705,GO:0097159,GO:0098655,GO:0098660,GO:0098662,GO:0140104,GO:1901363,GO:1990540,GO:1990542	-	ko:K15119	-	-	-	-	ko00000,ko02000	2.A.29	-	-	Mito_carr
g488.t1	40483.S8ELT5	1.31e-160	461.0	29UXG@1|root,2RXJQ@2759|Eukaryota,38GJY@33154|Opisthokonta,3NZ6A@4751|Fungi,3V0P1@5204|Basidiomycota,225HX@155619|Agaricomycetes,3H3VH@355688|Agaricomycetes incertae sedis	4751|Fungi	U	PhoX homologous domain, present in p47phox and p40phox.	-	GO:0000003,GO:0000149,GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0003674,GO:0005484,GO:0005488,GO:0005515,GO:0005543,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005770,GO:0005773,GO:0005774,GO:0006810,GO:0006886,GO:0006892,GO:0006896,GO:0006906,GO:0006996,GO:0007033,GO:0007034,GO:0007049,GO:0008104,GO:0008150,GO:0008289,GO:0009987,GO:0012505,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0016043,GO:0016050,GO:0016192,GO:0022406,GO:0022414,GO:0031090,GO:0031201,GO:0031224,GO:0031410,GO:0031982,GO:0032991,GO:0033036,GO:0034613,GO:0035091,GO:0042886,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0046907,GO:0048193,GO:0048278,GO:0048284,GO:0051179,GO:0051234,GO:0051321,GO:0051640,GO:0051641,GO:0051649,GO:0061024,GO:0061025,GO:0070727,GO:0071702,GO:0071705,GO:0071840,GO:0090174,GO:0097576,GO:0097708,GO:0098588,GO:0098796,GO:0098805,GO:0098852,GO:0140056	-	ko:K08502	ko04130,ko04138,map04130,map04138	-	-	-	ko00000,ko00001,ko04131	-	-	-	PX
g489.t1	202698.XP_007379670.1	0.0	1181.0	28IP3@1|root,2QR03@2759|Eukaryota,396BN@33154|Opisthokonta,3NXB9@4751|Fungi,3V4ZJ@5204|Basidiomycota,2255J@155619|Agaricomycetes,3H315@355688|Agaricomycetes incertae sedis	4751|Fungi	O	Glycoside Hydrolase family 74	-	-	3.2.1.155	ko:K18578	-	-	-	-	ko00000,ko01000	-	CBM1,GH74	-	CBM_1
g491.t1	984962.XP_009544816.1	6.31e-275	808.0	2B8Q7@1|root,2S0SA@2759|Eukaryota,3A319@33154|Opisthokonta,3P6B1@4751|Fungi,3V55E@5204|Basidiomycota,225HQ@155619|Agaricomycetes,3H3X0@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Transposase_21
g493.t1	40483.S8EGP1	0.0	1161.0	COG4886@1|root,KOG3519@1|root,KOG0619@2759|Eukaryota,KOG3519@2759|Eukaryota,39TSJ@33154|Opisthokonta,3NZIC@4751|Fungi,3UYK5@5204|Basidiomycota,224XN@155619|Agaricomycetes,3H296@355688|Agaricomycetes incertae sedis	4751|Fungi	T	RhoGEF domain	-	-	-	-	-	-	-	-	-	-	-	-	LRR_8,RhoGEF
g493.t2	40483.S8EGP1	0.0	1161.0	COG4886@1|root,KOG3519@1|root,KOG0619@2759|Eukaryota,KOG3519@2759|Eukaryota,39TSJ@33154|Opisthokonta,3NZIC@4751|Fungi,3UYK5@5204|Basidiomycota,224XN@155619|Agaricomycetes,3H296@355688|Agaricomycetes incertae sedis	4751|Fungi	T	RhoGEF domain	-	-	-	-	-	-	-	-	-	-	-	-	LRR_8,RhoGEF
g494.t1	40483.S8FSS4	7.42e-293	811.0	COG0531@1|root,KOG1286@2759|Eukaryota,38DMK@33154|Opisthokonta,3NUN0@4751|Fungi,3UXX5@5204|Basidiomycota,226HI@155619|Agaricomycetes,3H4EQ@355688|Agaricomycetes incertae sedis	4751|Fungi	E	amino acid	-	-	-	ko:K16261	-	-	-	-	ko00000,ko02000	2.A.3.10	-	-	AA_permease
g496.t1	40483.S8G1T6	2.97e-126	409.0	2E3WC@1|root,2SAW1@2759|Eukaryota,3A5X7@33154|Opisthokonta,3P5M3@4751|Fungi,3V1MJ@5204|Basidiomycota,227VA@155619|Agaricomycetes,3H3ER@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	LRR_6
g496.t2	40483.S8G1T6	1.52e-126	409.0	2E3WC@1|root,2SAW1@2759|Eukaryota,3A5X7@33154|Opisthokonta,3P5M3@4751|Fungi,3V1MJ@5204|Basidiomycota,227VA@155619|Agaricomycetes,3H3ER@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	LRR_6
g497.t1	104355.XP_007861571.1	4.89e-100	298.0	KOG3195@1|root,KOG3195@2759|Eukaryota,39WB2@33154|Opisthokonta,3P0YN@4751|Fungi,3V0MS@5204|Basidiomycota,225AG@155619|Agaricomycetes,3H0U0@355688|Agaricomycetes incertae sedis	4751|Fungi	U	Golgi apparatus membrane protein TVP23	TVP23	GO:0000139,GO:0002790,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0006810,GO:0008104,GO:0008150,GO:0009306,GO:0009987,GO:0012505,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0016192,GO:0030173,GO:0031090,GO:0031224,GO:0031228,GO:0031300,GO:0031301,GO:0031984,GO:0032940,GO:0033036,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0046903,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0098588,GO:0098791	-	-	-	-	-	-	-	-	-	-	DUF846
g498.t1	984962.XP_009541345.1	8.07e-213	620.0	COG2453@1|root,KOG1716@2759|Eukaryota,39TKJ@33154|Opisthokonta,3NY1Z@4751|Fungi,3V0T1@5204|Basidiomycota,2270F@155619|Agaricomycetes,3H92R@355688|Agaricomycetes incertae sedis	4751|Fungi	V	Dual specificity phosphatase, catalytic domain	CPP1	GO:0000003,GO:0000165,GO:0000188,GO:0000196,GO:0000200,GO:0000746,GO:0000747,GO:0000749,GO:0000754,GO:0001402,GO:0001932,GO:0001933,GO:0002831,GO:0002832,GO:0003674,GO:0003824,GO:0004721,GO:0004725,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006464,GO:0006468,GO:0006469,GO:0006470,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0007154,GO:0007165,GO:0008138,GO:0008150,GO:0008152,GO:0008277,GO:0009267,GO:0009405,GO:0009605,GO:0009607,GO:0009892,GO:0009966,GO:0009968,GO:0009987,GO:0009991,GO:0010033,GO:0010563,GO:0010570,GO:0010605,GO:0010646,GO:0010648,GO:0010969,GO:0016310,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0017017,GO:0019220,GO:0019222,GO:0019236,GO:0019538,GO:0019953,GO:0022414,GO:0023014,GO:0023051,GO:0023052,GO:0023057,GO:0023058,GO:0030447,GO:0030448,GO:0031098,GO:0031136,GO:0031137,GO:0031139,GO:0031323,GO:0031324,GO:0031399,GO:0031400,GO:0031667,GO:0031668,GO:0031669,GO:0032101,GO:0032102,GO:0032104,GO:0032105,GO:0032107,GO:0032108,GO:0032268,GO:0032269,GO:0032386,GO:0032879,GO:0032880,GO:0033157,GO:0033549,GO:0033550,GO:0033554,GO:0033673,GO:0035335,GO:0035556,GO:0036170,GO:0036180,GO:0036211,GO:0040007,GO:0040008,GO:0042221,GO:0042325,GO:0042326,GO:0042578,GO:0042594,GO:0043086,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043405,GO:0043407,GO:0043408,GO:0043409,GO:0043412,GO:0043549,GO:0043900,GO:0043902,GO:0044092,GO:0044182,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044419,GO:0044424,GO:0044464,GO:0044703,GO:0044764,GO:0045859,GO:0045926,GO:0045936,GO:0046822,GO:0046825,GO:0046999,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048585,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051049,GO:0051128,GO:0051171,GO:0051172,GO:0051174,GO:0051223,GO:0051246,GO:0051248,GO:0051338,GO:0051348,GO:0051403,GO:0051704,GO:0051716,GO:0060237,GO:0060238,GO:0060255,GO:0060258,GO:0060341,GO:0065007,GO:0065009,GO:0070201,GO:0070887,GO:0071310,GO:0071444,GO:0071496,GO:0071511,GO:0071554,GO:0071701,GO:0071704,GO:0071900,GO:0071901,GO:0080090,GO:0080134,GO:0090087,GO:0140096,GO:1900428,GO:1900429,GO:1900434,GO:1900435,GO:1900443,GO:1900444,GO:1901564,GO:1902531,GO:1902532,GO:1903338,GO:1903827,GO:1990264,GO:2000241,GO:2000243	3.1.3.48	ko:K11240,ko:K19812	ko04011,map04011	-	-	-	ko00000,ko00001,ko01000,ko01009	-	-	-	DSPc
g499.t1	40483.S8G1T1	5.44e-49	173.0	2EDPF@1|root,2SJ9A@2759|Eukaryota,3AI9B@33154|Opisthokonta,3PD09@4751|Fungi,3V43H@5204|Basidiomycota,22CNX@155619|Agaricomycetes,3H7Y5@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	BTB
g502.t1	40483.S8ELS7	2.42e-105	314.0	2AT5F@1|root,2SK8H@2759|Eukaryota,3AJ72@33154|Opisthokonta,3PD0F@4751|Fungi,3V3RT@5204|Basidiomycota,22FFE@155619|Agaricomycetes,3H8ZE@355688|Agaricomycetes incertae sedis	4751|Fungi	O	Glutathione S-transferase, N-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	GST_N_3
g503.t1	40483.S8EJ59	2.81e-107	317.0	2CS6A@1|root,2RAJJ@2759|Eukaryota,3ACKI@33154|Opisthokonta,3P99P@4751|Fungi,3V4BK@5204|Basidiomycota,22EJT@155619|Agaricomycetes,3H8G9@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g504.t1	104355.XP_007861165.1	5.21e-80	254.0	COG2340@1|root,KOG3017@2759|Eukaryota,3A626@33154|Opisthokonta,3NZQD@4751|Fungi,3V1R8@5204|Basidiomycota,22907@155619|Agaricomycetes,3H4VS@355688|Agaricomycetes incertae sedis	4751|Fungi	S	PR-1-like protein	-	-	-	ko:K20412	-	-	-	-	ko00000,ko04090	-	-	-	CAP
g505.t1	40483.S8FSR7	9.4e-39	136.0	294XW@1|root,2RBVH@2759|Eukaryota,3AY90@33154|Opisthokonta,3PJDV@4751|Fungi,3V8QZ@5204|Basidiomycota,22AKM@155619|Agaricomycetes,3H5Y8@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g506.t1	40483.S8ELS4	3.81e-75	234.0	KOG3306@1|root,KOG3306@2759|Eukaryota,3AC0F@33154|Opisthokonta,3P3QI@4751|Fungi,3V35Q@5204|Basidiomycota,229BQ@155619|Agaricomycetes,3H4XK@355688|Agaricomycetes incertae sedis	4751|Fungi	S	Protein of unknown function (DUF2012)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2012
g506.t2	40483.S8ELS4	1.12e-74	234.0	KOG3306@1|root,KOG3306@2759|Eukaryota,3AC0F@33154|Opisthokonta,3P3QI@4751|Fungi,3V35Q@5204|Basidiomycota,229BQ@155619|Agaricomycetes,3H4XK@355688|Agaricomycetes incertae sedis	4751|Fungi	S	Protein of unknown function (DUF2012)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2012
g507.t1	40483.S8EJ56	2.23e-103	308.0	COG1412@1|root,KOG3164@2759|Eukaryota,38GU1@33154|Opisthokonta,3NX8A@4751|Fungi,3V0ZW@5204|Basidiomycota,226NS@155619|Agaricomycetes,3H3M0@355688|Agaricomycetes incertae sedis	4751|Fungi	S	Fcf1	-	GO:0000447,GO:0000460,GO:0000462,GO:0000466,GO:0000469,GO:0000472,GO:0000478,GO:0000479,GO:0000480,GO:0000966,GO:0000967,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005730,GO:0005737,GO:0005739,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0019843,GO:0022613,GO:0030490,GO:0030684,GO:0031974,GO:0031981,GO:0032040,GO:0032991,GO:0034470,GO:0034471,GO:0034641,GO:0034660,GO:0042254,GO:0042274,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044085,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0070013,GO:0070181,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0097159,GO:1901360,GO:1901363,GO:1990904	-	ko:K14773	-	-	-	-	ko00000,ko03009	-	-	-	Fcf1
g508.t1	40483.S8ELR8	1.27e-157	511.0	2E5E5@1|root,2SC82@2759|Eukaryota,3ACZN@33154|Opisthokonta,3P9GT@4751|Fungi,3V32S@5204|Basidiomycota,2273I@155619|Agaricomycetes,3H2PH@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	ko:K19720	ko04611,ko04926,ko04933,ko04974,ko05146,map04611,map04926,map04933,map04974,map05146	-	-	-	ko00000,ko00001,ko00536	-	-	-	-
g508.t2	40483.S8ELR8	5.02e-158	513.0	2E5E5@1|root,2SC82@2759|Eukaryota,3ACZN@33154|Opisthokonta,3P9GT@4751|Fungi,3V32S@5204|Basidiomycota,2273I@155619|Agaricomycetes,3H2PH@355688|Agaricomycetes incertae sedis	4751|Fungi	-	-	-	-	-	ko:K19720	ko04611,ko04926,ko04933,ko04974,ko05146,map04611,map04926,map04933,map04974,map05146	-	-	-	ko00000,ko00001,ko00536	-	-	-	-
g509.t1	5341.XP_007325575.1	7.53e-184	531.0	COG5024@1|root,KOG0653@2759|Eukaryota,39V2P@33154|Opisthokonta,3NVG0@4751|Fungi,3UYB1@5204|Basidiomycota,2281M@155619|Agaricomycetes,3W4N8@5338|Agaricales	4751|Fungi	D	Belongs to the cyclin family	-	GO:0000079,GO:0001932,GO:0003674,GO:0007088,GO:0007096,GO:0007346,GO:0008150,GO:0010564,GO:0016538,GO:0019207,GO:0019220,GO:0019222,GO:0019887,GO:0030234,GO:0031323,GO:0031399,GO:0031657,GO:0032268,GO:0033043,GO:0042325,GO:0043549,GO:0045859,GO:0050789,GO:0050790,GO:0050794,GO:0051128,GO:0051171,GO:0051174,GO:0051246,GO:0051338,GO:0051726,GO:0051783,GO:0060255,GO:0065007,GO:0065009,GO:0071900,GO:0080090,GO:0098772,GO:1901987,GO:1901990,GO:1902806,GO:1904029,GO:2000045	-	-	-	-	-	-	-	-	-	-	Cyclin_C,Cyclin_N
g509.t2	5341.XP_007325575.1	5.41e-201	571.0	COG5024@1|root,KOG0653@2759|Eukaryota,39V2P@33154|Opisthokonta,3NVG0@4751|Fungi,3UYB1@5204|Basidiomycota,2281M@155619|Agaricomycetes,3W4N8@5338|Agaricales	4751|Fungi	D	Belongs to the cyclin family	-	GO:0000079,GO:0001932,GO:0003674,GO:0007088,GO:0007096,GO:0007346,GO:0008150,GO:0010564,GO:0016538,GO:0019207,GO:0019220,GO:0019222,GO:0019887,GO:0030234,GO:0031323,GO:0031399,GO:0031657,GO:0032268,GO:0033043,GO:0042325,GO:0043549,GO:0045859,GO:0050789,GO:0050790,GO:0050794,GO:0051128,GO:0051171,GO:0051174,GO:0051246,GO:0051338,GO:0051726,GO:0051783,GO:0060255,GO:0065007,GO:0065009,GO:0071900,GO:0080090,GO:0098772,GO:1901987,GO:1901990,GO:1902806,GO:1904029,GO:2000045	-	-	-	-	-	-	-	-	-	-	Cyclin_C,Cyclin_N
g510.t1	202698.XP_007378424.1	2.72e-267	736.0	28MYE@1|root,2QUH1@2759|Eukaryota,38DEZ@33154|Opisthokonta,3NWZI@4751|Fungi,3V3KK@5204|Basidiomycota,225C0@155619|Agaricomycetes,3H1IU@355688|Agaricomycetes incertae sedis	4751|Fungi	S	Oxidoreductase family, NAD-binding Rossmann fold	-	-	-	ko:K18106	ko00040,ko01100,map00040,map01100	M00630	R07676,R10565	RC00108	ko00000,ko00001,ko00002,ko01000	-	-	-	GFO_IDH_MocA
g511.t1	5346.XP_002911280.1	2.54e-77	280.0	2D1GY@1|root,2SI2Z@2759|Eukaryota,3AFWF@33154|Opisthokonta,3PA54@4751|Fungi,3V3TP@5204|Basidiomycota,22ER7@155619|Agaricomycetes,3W5Z3@5338|Agaricales	4751|Fungi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
g512.t1	80637.XP_007763330.1	0.0	1033.0	COG5076@1|root,KOG1245@2759|Eukaryota,38HJJ@33154|Opisthokonta,3NUDN@4751|Fungi,3UZ5A@5204|Basidiomycota,227R7@155619|Agaricomycetes	4751|Fungi	B	Chromatin remodeling complex protein	-	GO:0000122,GO:0000228,GO:0000785,GO:0000790,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006325,GO:0006338,GO:0006342,GO:0006348,GO:0006355,GO:0006357,GO:0006996,GO:0008150,GO:0008623,GO:0009373,GO:0009889,GO:0009890,GO:0009892,GO:0009987,GO:0010033,GO:0010468,GO:0010556,GO:0010558,GO:0010605,GO:0010629,GO:0016043,GO:0016458,GO:0019219,GO:0019222,GO:0019236,GO:0031010,GO:0031323,GO:0031324,GO:0031326,GO:0031327,GO:0031974,GO:0031981,GO:0032991,GO:0040029,GO:0042221,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0045814,GO:0045892,GO:0045934,GO:0045996,GO:0046019,GO:0046020,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051252,GO:0051253,GO:0051276,GO:0051716,GO:0060255,GO:0065007,GO:0070013,GO:0070603,GO:0070887,GO:0071310,GO:0071444,GO:0071840,GO:0080090,GO:1902494,GO:1902679,GO:1903506,GO:1903507,GO:1904949,GO:2000112,GO:2000113,GO:2001141	2.4.1.265	ko:K03849	ko00510,ko01100,map00510,map01100	M00055	R06263	-	ko00000,ko00001,ko00002,ko01000,ko01003	-	GT57	-	DDT,WAC_Acf1_DNA_bd,WHIM1,WSD
g513.t1	104355.XP_007861172.1	4.01e-206	597.0	COG0814@1|root,KOG1303@2759|Eukaryota,39JAJ@33154|Opisthokonta,3NV48@4751|Fungi,3UYHG@5204|Basidiomycota,224Y2@155619|Agaricomycetes,3H4D2@355688|Agaricomycetes incertae sedis	4751|Fungi	E	Transmembrane amino acid transporter protein	-	GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0003333,GO:0003674,GO:0005215,GO:0005302,GO:0005342,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006855,GO:0006865,GO:0006868,GO:0007034,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015173,GO:0015175,GO:0015179,GO:0015186,GO:0015188,GO:0015238,GO:0015318,GO:0015658,GO:0015711,GO:0015801,GO:0015803,GO:0015804,GO:0015807,GO:0015824,GO:0015828,GO:0015849,GO:0015893,GO:0016020,GO:0016021,GO:0022857,GO:0031090,GO:0031224,GO:0034220,GO:0042221,GO:0042493,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0046942,GO:0046943,GO:0050896,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0098588,GO:0098655,GO:0098656,GO:0098805,GO:0098852,GO:1902475,GO:1903825,GO:1905039	-	ko:K15015	ko04721,ko04723,ko04727,ko05032,ko05033,map04721,map04723,map04727,map05032,map05033	-	-	-	ko00000,ko00001,ko02000	2.A.18.5	-	iMM904.YJR001W	Aa_trans
g514.t1	40483.S8G1S3	1.32e-133	383.0	KOG3252@1|root,KOG3252@2759|Eukaryota,38GM1@33154|Opisthokonta,3NZ55@4751|Fungi,3V1RX@5204|Basidiomycota,228R6@155619|Agaricomycetes,3H47F@355688|Agaricomycetes incertae sedis	4751|Fungi	J	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005852,GO:0032991,GO:0044424,GO:0044444,GO:0044464	-	ko:K15028	-	-	-	-	ko00000,ko03012	-	-	-	CSN8_PSD8_EIF3K
